"","Percentage_positive"
"CDHR3",0.2
"SYPL1",12.5
"NAMPT",28.3
"AC007032.1",2
"AC004917.1",0.3
"CCDC71L",5.6
"PIK3CG",4.4
"PRKAR2B",0.4
"HBP1",15.5
"AC004492.1",0.1
"COG5",5.9
"DUS4L",1.6
"AC004839.2",0.2
"BCAP29",3.7
"SLC26A4-AS1",0.3
"SLC26A4",0.3
"AC002467.1",0.4
"CBLL1",4.4
"DLD",5.9
"LAMB1",0.7
"AC005046.1",0.2
"NRCAM",0.1
"PNPLA8",22.1
"THAP5",3.1
"DNAJB9",5.9
"IMMP2L",5.3
"LRRN3",0.3
"DOCK4",0.3
"ZNF277",2.8
"IFRD1",47
"LSMEM1",0.4
"TMEM168",4.5
"BMT2",1.9
"GPR85",0.2
"SMIM30",0.8
"MDFIC",7.2
"TFEC",1.9
"TES",9.8
"CAV1",0.1
"CAPZA2",11
"ST7",0.3
"ST7-OT4",1.1
"LSM8",18.2
"ING3",19.2
"CPED1",0.2
"AC006364.1",0.7
"WNT16",0.5
"FAM3C",4.3
"AASS",1.6
"NDUFA5",13.8
"WASL",2.8
"AC006333.2",0.7
"POT1",1.6
"POT1-AS1",0.3
"ZNF800",16.2
"GCC1",2.8
"ARF5",8
"FSCN3",0.5
"AC073934.1",0.2
"SND1",3.4
"SND1-IT1",1.7
"LRRC4",0.3
"RBM28",5
"IMPDH1",1.6
"HILPDA",0.9
"METTL2B",4.2
"AC090114.2",3.4
"AC018638.7",0.6
"FAM71F2",0.9
"AC018638.6",0.1
"CALU",3.6
"CCDC136",0.5
"KCP",1.7
"ATP6V1F",16.6
"ATP6V1FNB",0.3
"IRF5",2.1
"TNPO3",6.6
"TSPAN33",6.7
"SMO",0.2
"AHCYL2",1
"STRIP2",0.1
"SMKR1",0.3
"AC078846.1",2
"NRF1",3.2
"UBE2H",12
"AC073320.1",0.5
"ZC3HC1",1.4
"KLHDC10",1.7
"TMEM209",2.6
"CEP41",0.6
"MEST",0.5
"COPG2",0.7
"AUXG01000058.1",0.5
"TSGA13",0.3
"AC016831.6",0
"AC016831.7",3.2
"LINC00513",9.1
"AC016831.1",8.7
"AC016831.5",19.8
"AC058791.1",17.9
"LINC-PINT",63.5
"MKLN1",12.5
"MKLN1-AS",0.5
"PODXL",0.4
"CHCHD3",4.9
"EXOC4",10.4
"LRGUK",0.3
"SLC35B4",1.4
"AKR1B1",3
"BPGM",1.1
"CALD1",1.5
"AC083870.1",0.1
"AGBL3",0.4
"CYREN",1.6
"TMEM140",2.3
"AC083862.2",0.2
"AC083862.3",4.8
"WDR91",2.4
"AC009542.1",0.1
"CNOT4",13.8
"NUP205",3
"STMP1",8.1
"AC015987.1",1.1
"MTPN",19.5
"AC024084.1",0.1
"AC078845.1",0.1
"CREB3L2",9.4
"TRIM24",2.3
"KIAA1549",0.2
"ZC3HAV1L",0
"ZC3HAV1",25.8
"TTC26",0.7
"UBN2",3.2
"FMC1",1.1
"LUC7L2",21.6
"AC083880.1",1.4
"HIPK2",8.2
"TBXAS1",2
"PARP12",5.4
"KDM7A",13.8
"KDM7A-DT",0.8
"SLC37A3",0.6
"MKRN1",12.6
"DENND2A",0.2
"ADCK2",1.4
"NDUFB2",12.6
"NDUFB2-AS1",0.8
"BRAF",35.5
"MRPS33",1.6
"TMEM178B",0.3
"AGK",3.5
"AC004918.1",0.8
"DENND11",6.7
"AC004918.4",0.3
"WEE2-AS1",0.3
"WEE2",0.1
"SSBP1",17.9
"TAS2R4",0.2
"MTRNR2L6",2.3
"TRBC2",20.6
"EPHB6",6.5
"TRPV6",0
"GSTK1",10.1
"CASP2",4.3
"AC093673.1",2.1
"ZYX",3.5
"EPHA1-AS1",0.6
"TCAF2",2.1
"TCAF1",1.4
"ARHGEF35",1.6
"AC004889.1",3.1
"OR2A1-AS1",2
"ARHGEF5",1
"TPK1",3.2
"CNTNAP2",0.2
"CUL1",6
"EZH2",9.9
"GHET1",0
"PDIA4",2.5
"ZNF786",0.4
"ZNF425",0.1
"ZNF398",1.3
"ZNF282",0.7
"ZNF212",1.1
"ZNF783",1.5
"ZNF777",1
"ZNF746",3.7
"KRBA1",0.7
"ZNF467",0.1
"SSPO",0
"ZNF862",0.6
"ATP6V0E2",1.1
"AC006008.1",0.7
"ACTR3C",2.7
"ZBED6CL",0.5
"REPIN1",7.9
"ZNF775",0.7
"AC073111.4",8.9
"LINC00996",6.4
"GIMAP8",0.4
"GIMAP2",0.4
"KCNH2",1.1
"NOS3",0.2
"ATG9B",1.3
"ABCB8",5.9
"ASIC3",0.2
"CDK5",0.3
"SLC4A2",1.6
"AC010973.2",0
"FASTK",2
"TMUB1",5.3
"AGAP3",0.7
"ABCF2",1.4
"CHPF2",1.4
"SMARCD3",0.1
"NUB1",7.7
"WDR86",1.4
"WDR86-AS1",0.4
"RHEB",17.3
"PRKAG2",10.5
"PRKAG2-AS1",0.4
"GALNT11",2
"KMT2C",40.7
"LINC01003",4
"XRCC2",0.4
"ACTR3B",0.7
"DPP6",0.2
"PAXIP1-AS2",1.7
"PAXIP1",1.9
"PAXIP1-AS1",3
"AC144652.1",2.8
"INSIG1",13.4
"AC009403.2",0.1
"AC009403.1",1.4
"RBM33",22.3
"LINC01006",1.7
"RNF32",0.3
"AC005534.1",0.9
"LMBR1",4.2
"NOM1",9
"UBE3C",5.2
"DNAJB6",31.1
"NCAPG2",1.6
"ESYT2",6.7
"WDR60",5.4
"ZNF596",0.6
"AC004908.2",1
"AC004908.3",0.1
"FBXO25",3.6
"ERICH1",18
"CLN8",1.9
"AC100810.1",2.1
"ARHGEF10",0.7
"KBTBD11",0.4
"MYOM2",0.1
"AC245123.1",0.5
"AC246817.2",1
"AC246817.1",6.9
"AC016065.1",0.7
"MCPH1",13.4
"ANGPT2",2.2
"AGPAT5",13.5
"FAM85B",0.4
"PRAG1",2.8
"AC103957.1",0.1
"CLDN23",1
"MFHAS1",27.4
"ERI1",1.8
"PPP1R3B",1.2
"AC022784.1",0.3
"TNKS",10.5
"MSRA",4.2
"AC104964.3",0.5
"AC104964.1",0.2
"AC104964.4",0.2
"SOX7",0.3
"PINX1",3.6
"XKR6",2.1
"AF131215.6",0.9
"AF131215.5",0.3
"AF131215.4",1.2
"AF131215.2",0.7
"MTMR9",4.2
"FAM167A",0.7
"BLK",25.6
"AC022239.1",0.3
"NEIL2",1.3
"FDFT1",6.4
"AC069185.1",0.8
"CTSB",2.6
"FAM66D",0.3
"AC145124.1",0.6
"AC068587.4",3.5
"LONRF1",11.3
"AC123777.1",0.1
"TRMT9B",0.3
"TUSC3",0
"MSR1",7.7
"FGF20",0.1
"MICU3",1.8
"ZDHHC2",6.4
"CNOT7",13.7
"VPS37A",2.4
"MTUS1",0.3
"PCM1",37
"ASAH1",10.2
"AC124242.1",0.1
"PSD3",11.3
"SH2D4A",0
"CSGALNACT1",9.4
"INTS10",4.2
"ATP6V1B2",3.9
"DOK2",1.1
"XPO7",3.6
"FAM160B2",2.7
"NUDT18",0.3
"REEP4",0.4
"POLR3D",3.8
"PIWIL2",0.3
"SLC39A14",0.2
"PPP3CC",7.4
"AC087854.1",0.6
"SORBS3",1.2
"PDLIM2",1.6
"C8orf58",0.6
"CCAR2",3.8
"AC037459.2",1.2
"BIN3",4.6
"AC105046.1",3.5
"EGR3",18.6
"AC105046.2",0.2
"PEBP4",0.5
"RHOBTB2",1.9
"TNFRSF10B",3.9
"TNFRSF10D",1.2
"TNFRSF10A-AS1",0.1
"TNFRSF10A",7.8
"AC100861.1",1.7
"AC100861.2",0.1
"CHMP7",11.3
"R3HCC1",1.3
"LOXL2",0.3
"ENTPD4",19.5
"SLC25A37",8.4
"NKX3-1",0.7
"ADAM28",14.6
"AC120193.1",1
"NEFL",0.2
"GNRH1",0.1
"KCTD9",2
"CDCA2",0.1
"PPP2R2A",15.7
"BNIP3L",11.9
"DPYSL2",2.7
"PTK2B",3.6
"EPHX2",0.2
"CLU",0
"CCDC25",3.4
"ESCO2",0.5
"NUGGC",2.5
"ELP3",1.3
"AC021678.2",0.4
"PNOC",4.5
"ZNF395",11.4
"FZD3",2.8
"EXTL3",0.9
"EXTL3-AS1",0.2
"INTS9",1.2
"HMBOX1",7.8
"AC108449.2",0.7
"KIF13B",4.3
"DUSP4",5.7
"AC084262.2",0.2
"LINC02099",0.4
"SARAF",37.8
"AC044849.1",29
"LEPROTL1",7.8
"AC026979.2",7.1
"DCTN6",5
"AC026979.4",0.2
"GTF2E2",12.1
"GSR",2.8
"UBXN8",0.4
"PPP2CB",1.1
"WRN",11.8
"NRG1",0.2
"AC068931.1",0
"NRG1-IT1",0.1
"NRG1-IT3",0
"AC090204.1",0.3
"FUT10",0.3
"TTI2",1.3
"MAK16",4.1
"RNF122",0.5
"AF279873.3",0
"ZNF703",4.4
"ERLIN2",2
"PLPBP",1.5
"BRF2",1
"RAB11FIP1",58
"EIF4EBP1",1.2
"ASH2L",2
"STAR",0.1
"LSM1",3.4
"BAG4",5.1
"DDHD2",4.2
"PLPP5",3.8
"NSD3",23.9
"AC087623.2",2
"LETM2",4
"FGFR1",4.6
"TACC1",28.1
"AC067817.1",0.8
"AC067817.2",0.3
"PLEKHA2",30.4
"AC108863.2",5.5
"TM2D2",1
"ADAM9",1.1
"ADAM32",0.1
"IDO1",0.7
"GOLGA7",2.2
"AC009630.1",0.1
"GINS4",1.1
"GPAT4",4.9
"ANK1",0.5
"AC027702.1",0.3
"KAT6A",18.5
"AC103724.4",0.9
"AC103724.3",0.2
"AP3M2",3.6
"PLAT",0.4
"AC083973.1",0.5
"IKBKB",7.4
"POLB",4
"VDAC3",1.6
"SLC20A2",3.2
"AC090739.1",0.8
"SMIM19",4
"THAP1",2.6
"AC087533.1",0.1
"RNF170",1.3
"HOOK3",16.8
"FNTA",4.7
"POMK",0.1
"HGSNAT",8.7
"SPIDR",7.9
"AC024451.4",0.2
"CEBPD",1.3
"PRKDC",18.7
"MCM4",2.1
"UBE2V2",4.2
"PCMTD1",9
"AC103769.1",1.9
"AC064807.1",1.9
"RB1CC1",26
"OPRK1",0.1
"AC022034.1",0.3
"ATP6V1H",11.2
"RGS20",0.1
"TCEA1",39.5
"LYPLA1",7.4
"MRPL15",0.9
"XKR4",0.2
"TMEM68",1
"TGS1",8.3
"LYN",38.8
"AC018607.1",4
"RPS20",55.9
"PLAG1",0.9
"CHCHD7",4.5
"IMPAD1",4.3
"UBXN2B",2.9
"SDCBP",20.4
"NSMAF",8.2
"LINC01301",0.1
"RAB2A",9.7
"AC068389.3",0.5
"AC068389.1",0.5
"CHD7",31.4
"AC113143.3",0.3
"AC022182.1",0.9
"AC022182.2",0.1
"ASPH",0.3
"GGH",0.7
"YTHDF3-AS1",0.6
"YTHDF3",12.7
"AC011978.2",0.8
"ARMC1",2
"MTFR1",0.8
"PDE7A",10.5
"AC100812.1",0.2
"AC084082.1",0.1
"RRS1",0.6
"ADHFE1",0.5
"MYBL1",1.1
"VCPIP1",4.7
"SGK3",3.5
"SNHG6",27.3
"COPS5",4.2
"CSPP1",4.7
"ARFGEF1",13.7
"AC021321.2",0.8
"AC021321.1",0.2
"SLCO5A1",0.4
"AC079089.1",0.1
"NCOA2",7.7
"TRAM1",16.5
"LACTB2-AS1",0.7
"LACTB2",1.4
"TERF1",6.3
"AC022893.1",0.2
"RPL7",55.4
"RDH10",0.2
"STAU2",3.7
"UBE2W",5.5
"AC022868.2",0.1
"ELOC",12.1
"TMEM70",3.7
"LY96",1.2
"GDAP1",1.8
"PEX2",3.6
"PKIA-AS1",0.3
"PKIA",3.2
"AC068700.2",0.1
"ZC2HC1A",3.6
"IL7",1.1
"AC083837.1",0.4
"LINC02605",0.6
"MRPS28",1.6
"AC036214.2",0.6
"AC009686.2",0.1
"TPD52",14.6
"AC034114.2",0.1
"AC009812.1",3.5
"ZBTB10",43
"AC009812.3",0.6
"AC009812.4",1.2
"ZNF704",1.7
"PAG1",1.5
"AC079209.1",0.2
"FABP5",8.6
"IMPA1",4.9
"ZFAND1",2.6
"SNX16",1.6
"LINC02235",0
"RALYL",0.1
"LRRCC1",0.7
"AC011773.4",2
"E2F5",4.3
"AC011773.1",0.2
"RBIS",12.5
"CA13",0.7
"CA2",0.6
"AC103760.1",0
"WWP1",4.9
"RMDN1",2.9
"CPNE3",4.4
"MMP16",0
"AF117829.1",8.2
"RIPK2",4.5
"OSGIN2",2
"NBN",6
"DECR1",3.6
"LINC00534",0.2
"TMEM64",2.3
"AC106038.1",0.1
"C8orf88",0.5
"PIP4P2",1.7
"OTUD6B-AS1",14
"OTUD6B",4.1
"LRRC69",0.6
"SLC26A7",0
"RUNX1T1",0
"TRIQK",0.9
"FAM92A",0.2
"AC120053.1",0.1
"RBM12B",3.7
"TMEM67",5.4
"PDP1",6.7
"MIR378D2HG",0.2
"GEM",2.8
"RAD54B",0.2
"FSBP",0.3
"VIRMA",7.9
"AC023632.2",0.3
"AC108860.2",0
"DPY19L4",1.4
"INTS8",3
"CCNE2",0.4
"AC087752.4",0.2
"NDUFAF6",3.5
"TP53INP1",7.1
"AC087752.3",0.1
"PLEKHF2",9
"C8orf37-AS1",0.1
"C8orf37",0.1
"UQCRB",26.4
"MTERF3",1.7
"PTDSS1",4.5
"CPQ",3.2
"AP003117.1",0.1
"TSPYL5",0.4
"AP002982.2",0.1
"MTDH",24.6
"LAPTM4B",0.3
"RPL30",74.7
"AP003352.1",1.4
"POP1",0.5
"NIPAL2",1.3
"STK3",0.9
"OSR2",0.1
"VPS13B-DT",1.2
"VPS13B",12.5
"COX6C",17.8
"FBXO43",0.1
"POLR2K",7.7
"SPAG1",3.2
"RNF19A",27.4
"AP000424.1",0.1
"ANKRD46",0.9
"PABPC1",80.4
"AC027373.1",0.6
"YWHAZ",67.8
"ZNF706",15.6
"RRM2B",4.4
"UBR5-AS1",6.8
"UBR5",18.5
"AP002852.1",0.8
"KLF10",33.1
"AP002851.1",0.2
"GASAL1",4.2
"AZIN1",13.4
"AP003696.1",0.1
"AZIN1-AS1",1.8
"ATP6V1C1",2.4
"SLC25A32",9.3
"DCAF13",10.2
"RIMS2",0.2
"LRP12",0.1
"ZFPM2",0.4
"AC027031.2",0.3
"OXR1",4.6
"EIF3E",21.3
"EMC2",2.3
"NUDCD1",0.9
"ENY2",11.6
"PKHD1L1",1
"EBAG9",3.8
"SYBU",0.1
"LINC01608",0
"TRPS1",8
"EIF3H",19.6
"UTP23",6.1
"RAD21",22.1
"RAD21-AS1",0.2
"MED30",10.5
"EXT1",3.4
"SAMD12",2.7
"AC023590.1",1.5
"SAMD12-AS1",0.1
"CCN3",0.3
"ENPP2",1.7
"TAF2",9.1
"AP005717.2",0.1
"DSCC1",0.2
"MRPL13",2.8
"MTBP",1.4
"SNTB1",1.4
"AC068413.1",0.1
"AC016405.3",0.8
"AC016405.2",0.1
"ZHX2",8.5
"AC016405.1",5.2
"DERL1",11.9
"TBC1D31",0.4
"FAM83A-AS1",0.1
"C8orf76",4.1
"ZHX1",2.5
"ATAD2",10.6
"WDYHV1",0.6
"FBXO32",2.1
"FAM91A1",13.7
"TMEM65",2.4
"TRMT12",1
"RNF139-AS1",1.3
"RNF139",8
"TATDN1",4.3
"AC090198.1",1.3
"NDUFB9",8.2
"MTSS1",43.2
"ZNF572",0.1
"SQLE",13.3
"WASHC5",4.6
"NSMCE2",5.4
"TRIB1",7.2
"AC091114.1",0
"LRATD2",0.7
"PCAT1",0.5
"CASC19",0.3
"PRNCR1",0.7
"POU5F1B",0.2
"AC104370.1",0.1
"MYC",8.3
"PVT1",8.6
"LINC00824",1.5
"FAM49B",14.1
"AC022973.3",0.5
"AC131568.1",0
"ASAP1",3.4
"ASAP1-IT2",0.5
"AC139019.1",0.5
"EFR3A",10.6
"KCNQ3",0.2
"TMEM71",3.1
"PHF20L1",17.6
"SLA",7.8
"AF305872.2",1.6
"NDRG1",13.2
"ST3GAL1",7.4
"AC103706.1",0.3
"AC105180.2",0.2
"ZFAT",6.5
"AC083843.3",1.1
"AC083843.2",0.5
"KHDRBS3",3.1
"LINC02055",0.2
"KCNK9",2.3
"TRAPPC9",3.3
"PEG13",0.4
"AC107375.1",1.4
"CHRAC1",12.7
"AGO2",15
"ERICD",0.2
"PTK2",4.9
"DENND3",4.8
"AC040970.1",0.5
"SLC45A4",1.5
"AC011676.1",0.4
"PTP4A3",1
"TSNARE1",0.7
"AC134682.1",0.1
"ADGRB1",0.4
"ARC",0.1
"JRK",1.2
"LNCOC1",0
"AC083841.2",0
"LY6E-DT",0.5
"LY6E",15.9
"ZFP41",0.3
"GLI4",1
"MINCR",0.5
"ZNF696",0.6
"TOP1MT",4.2
"RHPN1",2
"MAFA",1.2
"ZC3H3",1.8
"AC067930.8",0.8
"GSDMD",2.6
"MROH6",0.2
"NAPRT",0.7
"EEF1D",62.7
"TIGD5",0.6
"PYCR3",0.7
"TSTA3",1.4
"ZNF623",0.5
"ZNF707",1.3
"AC105219.1",0.3
"FAM83H",0.1
"IQANK1",0
"SCRIB",1.5
"PUF60",8.5
"NRBP2",0.9
"EPPK1",0
"AC109322.2",0.7
"PLEC",8.1
"PARP10",1.8
"GRINA",3.8
"OPLAH",0.1
"EXOSC4",0.7
"GPAA1",3.3
"CYC1",4.6
"SHARPIN",4.3
"MAF1",8
"WDR97",0.3
"HGH1",0.2
"MROH1",4.7
"BOP1",1.6
"SCX",3
"HSF1",4.5
"DGAT1",2.4
"SLC52A2",1
"FBXL6",0.9
"ADCK5",0.6
"CPSF1",1.9
"SLC39A4",1.1
"VPS28",8.7
"TONSL",0.9
"CYHR1",2.3
"KIFC2",2
"FOXH1",0.1
"PPP1R16A",0.8
"AC084125.2",0.2
"MFSD3",0.3
"RECQL4",0.7
"LRRC14",0.9
"LRRC24",0.8
"C8orf82",1.9
"ARHGAP39",0.3
"ZNF251",2
"ZNF34",0.9
"RPL8",72
"ZNF517",0.3
"ZNF7",2.7
"COMMD5",2.8
"AF235103.3",0.4
"ZNF250",1.4
"ZNF16",0.7
"ZNF252P-AS1",0
"C8orf33",10.5
"WASHC1",7.3
"AL928970.1",0.3
"CBWD1",4.7
"DOCK8-AS1",0.2
"DOCK8",13.2
"KANK1",6.8
"AL392089.1",0.5
"SMARCA2",9.6
"PUM3",11.6
"LINC01231",0.1
"RFX3",5.4
"RFX3-AS1",0.5
"AL354977.2",0.2
"SPATA6L",0.1
"CDC37L1-DT",0.8
"CDC37L1",1.7
"AK3",2.9
"RCL1",3.1
"JAK2",3.3
"PLGRKT",2.5
"AL162253.2",0.7
"RIC1",9.2
"ERMP1",0.4
"KIAA2026",9.9
"RANBP6",6.6
"UHRF2",21.7
"GLDC",0.1
"KDM4C",10.3
"DMAC1",2.5
"PTPRD-AS1",0.3
"NFIB",0.1
"AL159169.2",0.7
"ZDHHC21",13.4
"TTC39B",0.4
"SNAPC3",1.8
"PSIP1",12.7
"CCDC171",1.2
"CNTLN",0.2
"RRAGA",4.4
"HAUS6",2.6
"PLIN2",4.5
"DENND4C",5.4
"RPS6",68.1
"ACER2",0.1
"AL158206.1",0.1
"SLC24A2",0
"MLLT3",0.3
"FOCAD",0.5
"HACD4",1.8
"KLHL9",4.1
"MTAP",3.6
"CDKN2A",2.7
"CDKN2B-AS1",2.6
"DMRTA1",0.1
"CAAP1",4.5
"PLAA",2.8
"IFT74",1.9
"MOB3B",1.8
"C9orf72",8.5
"ACO1",1
"DDX58",1.6
"TOPORS",8.8
"SMIM27",1.6
"NDUFB6",2.4
"APTX",6.8
"DNAJA1",40.5
"SMU1",15.1
"B4GALT1",15.8
"BAG1",7.7
"CHMP5",2.9
"NFX1",8.2
"AQP7",0
"NOL6",1
"UBE2R2-AS1",0.1
"UBE2R2",10.7
"UBAP2",5.9
"DCAF12",1.2
"UBAP1",4.2
"C9orf24",0
"FAM219A",0.6
"RPP25L",0.3
"DCTN3",4.3
"GALT",1.9
"IL11RA",0.9
"AL162231.1",0.4
"AL162231.2",0.4
"DNAJB5-DT",0.2
"DNAJB5",0.4
"AL355377.3",0.6
"AL355377.4",0.4
"VCP",16.9
"FANCG",0.6
"PIGO",1.3
"STOML2",2.8
"FAM214B",0.8
"TESK1",4.3
"CD72",7.5
"SIT1",6
"RMRP",0.4
"CCDC107",5.4
"ARHGEF39",0.3
"TPM2",1.9
"TLN1",11.4
"CREB3",1.2
"GBA2",1.4
"RGP1",2.8
"AL133410.1",0.4
"NPR2",0.1
"HINT2",2.4
"TMEM8B",0.7
"RECK",0.7
"GLIPR2",1.5
"CLTA",5.6
"GNE",1.7
"RNF38",12.9
"MELK",0.1
"PAX5",29.3
"AL161781.2",3
"EBLN3P",19.6
"ZCCHC7",17.6
"GRHPR",3.1
"ZBTB5",1.4
"POLR1E",2.3
"FBXO10",3.5
"TOMM5",18.1
"TRMT10B",3.1
"EXOSC3",1.6
"DCAF10",1.6
"SLC25A51",0.9
"SHB",0.3
"ANKRD18A",0
"FAM201A",0
"CNTNAP3",0.2
"GLIDR",0.7
"BMS1P14",0.2
"CBWD6",0.6
"BX088651.4",0.1
"FAM27C",0.4
"LINC01410",0.2
"AL512625.3",1.2
"AL512625.2",0.1
"AL512625.1",0.5
"ANKRD20A4",0.1
"CBWD5",6.9
"ZNF658",0.1
"CBWD3",3
"PIP5K1B",1.7
"FAM122A",0.9
"FXN",1.7
"TJP2",0.9
"PTAR1",9.8
"SMC5-AS1",0.8
"SMC5",14.2
"AL162390.1",1.1
"KLF9",10.5
"TRPM3",0.1
"CEMIP2",23.6
"ABHD17B",1.5
"C9orf85",0.9
"ZFAND5",17.3
"RORB",0.2
"C9orf40",0.4
"CARNMT1-AS1",0.2
"CARNMT1",1.8
"AL158825.2",0.1
"NMRK1",2.1
"OSTF1",4.1
"PCSK5",0.1
"RFK",1
"GCNT1",0.7
"PCA3",0.2
"VPS13A-AS1",0.1
"VPS13A",10.2
"GNAQ",2
"CEP78",3.4
"TLE4",30.4
"TLE1",16.5
"AL158154.3",0.3
"RASEF",0.1
"AL137847.1",0
"FRMD3",0.1
"IDNK",0.6
"UBQLN1",11.6
"GKAP1",6.6
"KIF27",2.6
"HNRNPK",39
"AL354733.3",5.9
"RMI1",0.3
"AL157886.1",0
"AGTPBP1",7.2
"AL353743.2",0.6
"NAA35",5.4
"C9orf153",0.1
"ISCA1",14
"TUT7",13.4
"GAS1",0
"DAPK1",0.5
"AL353748.3",0.3
"SPIN1",4.1
"S1PR3",0.2
"CKS2",3.7
"SECISBP2",30.7
"SEMA4D",4.2
"GADD45G",9.4
"SYK",9.8
"AL158071.3",0
"AUH",2
"NFIL3",1.1
"SPTLC1",5.6
"IARS",3.5
"NOL8",7.8
"CENPP",1.2
"IPPK",0.7
"BICD2",4.9
"ZNF484",1.4
"FGD3",4.9
"SUSD3",0.8
"CARD19",1.2
"NINJ1",7.3
"FAM120AOS",9.5
"FAM120A",7.1
"PHF2",1.6
"PTPDC1",0.9
"AL360020.1",0.2
"AL158152.1",6.6
"ZNF169",0.7
"AL691447.2",0.2
"MFSD14B",2.1
"PCAT7",0.2
"AL157936.1",0.3
"AOPEP",1.8
"FANCC",1.2
"PTCH1",1
"AL161729.1",0.1
"LINC00476",3.9
"ERCC6L2",4.2
"ZNF367",0.9
"AL133477.2",0.6
"HABP4",2.2
"CDC14B",1.1
"PRXL2C",13.8
"ZNF510",1.4
"ZNF782",1.3
"MFSD14C",9.4
"AL590705.1",0.2
"CCDC180",1.1
"TDRD7",1.4
"TSTD2",6.8
"NCBP1",5.8
"XPA",6.1
"TRMO",3.8
"AL499604.1",12.8
"ANP32B",15.4
"NANS",4.2
"TRIM14",0.8
"CORO2A",0.4
"ANKS6",0.8
"GALNT12",0.8
"TGFBR1",8.1
"ALG2",4.6
"SEC61B",22.4
"AL359710.1",0.1
"STX17-AS1",0.3
"NR4A3",23.8
"STX17",3.1
"ERP44",3.6
"INVS",2.1
"TEX10",4.1
"MSANTD3",2.1
"CAVIN4",0.1
"MRPL50",1.4
"ZNF189",0.8
"RNF20",2.7
"SMC2",1.6
"NIPSNAP3A",0.6
"NIPSNAP3B",0.4
"ABCA1",9.6
"CT70",0.3
"SLC44A1",1.4
"FSD1L",0.6
"FKTN",0.7
"TAL2",0.1
"TMEM38B",1.5
"RAD23B",10.6
"KLF4",7.9
"ELP1",1.6
"CTNNAL1",2
"TMEM245",3.2
"FRRS1L",0.1
"PTPN3",0.1
"PALM2-AKAP2",5.3
"TXN",4.8
"ECPAS",6.6
"ZNF483",0.6
"PTGR1",0.1
"DNAJC25",2.8
"GNG10",1.6
"UGCG",15.6
"AL138756.1",0.2
"SUSD1",0.4
"PTBP3",20
"HSDL2",1.1
"C9orf147",0.3
"KIAA1958",2.6
"INIP",1.4
"SNX30",3.8
"ZFP37",0.2
"SLC31A2",0.2
"FKBP15",2
"SLC31A1",0.7
"CDC26",3.1
"PRPF4",6.1
"WDR31",0.2
"HDHD3",1.1
"ALAD",0.7
"POLE3",10.6
"C9orf43",0.2
"RGS3",0.2
"ZNF618",2
"COL27A1",0.9
"AKNA",11.6
"AL138895.1",1.5
"WHRN",9.5
"ATP6V1G1",27.2
"TMEM268",2.4
"TNFSF8",1
"ASTN2",0.1
"AL161630.1",0
"TLR4",1.6
"CDK5RAP2",12.5
"MEGF9",1.3
"FBXW2",5
"B3GNT10",0.4
"PSMD5",3.2
"PHF19",2.4
"TRAF1",2.6
"C5",0.4
"CNTRL",16
"RAB14",14.2
"GSN",0.5
"STOM",0.3
"AL359644.1",0.3
"DAB2IP",0.7
"TTLL11",0.4
"RBM18",3.6
"MRRF",2.2
"PTGS1",0.2
"PDCL",1.2
"RC3H2",7.2
"ZBTB6",0.8
"ZBTB26",0.7
"AC007066.2",0.4
"RABGAP1",6.9
"MIR600HG",1
"STRBP",24.6
"CRB2",0.2
"DENND1A",3.4
"NEK6",2.4
"PSMB7",5.7
"MIR181A2HG",0.9
"RPL35",60.4
"ARPC5L",4.9
"GOLGA1",2.3
"SCAI",3.1
"PPP6C",5.6
"RABEPK",0.8
"HSPA5",32.2
"AL354710.2",0.4
"GAPVD1",6.6
"MAPKAP1",6.3
"PBX3",1.5
"MVB12B",0.9
"ZBTB43",7.9
"ZBTB34",0.5
"RALGPS1",3.1
"GARNL3",0.4
"SLC2A8",0.8
"RPL12",66.4
"LRSAM1",1.1
"NIBAN2",0.1
"PTRH1",0.5
"CFAP157",0
"TOR2A",0.6
"SH2D3C",1
"CDK9",5.8
"FPGS",4.1
"ENG",0.3
"AL162586.1",0.2
"AK1",1.3
"ST6GALNAC6",5.9
"ST6GALNAC4",7.1
"PIP5KL1",0.8
"AL157935.1",0.6
"DPM2",4.2
"FAM102A",27.6
"NAIF1",0.9
"SLC25A25",1.6
"AL360268.1",0
"SLC25A25-AS1",1.8
"PTGES2",2.2
"C9orf16",11.8
"CIZ1",2.8
"DNM1",0.2
"GOLGA2",7.2
"SWI5",1.2
"TRUB2",2.2
"COQ4",2.7
"SLC27A4",0.2
"URM1",2.7
"ODF2",3
"GLE1",0.6
"SPTAN1",14.6
"AL356481.2",0.3
"WDR34",2.3
"HMGA1P4",1.9
"SET",42.2
"PKN3",0.3
"ZDHHC12",1.1
"ZER1",1.4
"TBC1D13",1
"SPOUT1",1.1
"KYAT1",0.3
"LRRC8A",3.1
"PHYHD1",1.6
"DOLK",1.1
"NUP188",7.9
"SH3GLB2",6
"MIGA2",1.8
"DOLPP1",0.2
"CRAT",0.1
"PTPA",1.9
"IER5L",3.3
"LINC00963",2.6
"NTMT1",3.3
"ASB6",1.7
"TOR1B",0.8
"TOR1A",1.2
"C9orf78",20.3
"USP20",1.8
"FNBP1",32.2
"AL136141.1",0.1
"GPR107",2.4
"HMCN2",0.1
"FUBP3",4
"EXOSC2",2.3
"ABL1",3.3
"LAMC3",0.3
