"","Percentage_positive"
"IFI6",2.9
"AL020997.5",0.5
"FAM76A",5.2
"STX12",5.2
"AL020997.2",0.4
"PPP1R8",1.4
"THEMIS2",1.9
"RPA2",1.8
"XKR8",0.3
"EYA3",1.5
"PTAFR",0.3
"DNAJC8",15.3
"ATP5IF1",7.4
"AL353622.1",0.5
"SESN2",0.6
"MED18",0.5
"PHACTR4",15.9
"RCC1",0.8
"SNHG3",6.4
"TRNAU1AP",2.8
"SNHG12",3.6
"TAF12",1.8
"LINC01715",0.1
"AL360012.1",9.4
"GMEB1",4.5
"YTHDF2",11.1
"EPB41",21.6
"SRSF4",25.2
"MECR",0.6
"MATN1",0.8
"MATN1-AS1",2.3
"LAPTM5",58.7
"SDC3",1.7
"PUM1",23.8
"SNRNP40",6.3
"ZCCHC17",2.6
"LINC01226",0.2
"PEF1",2.3
"ADGRB2",0
"AL136115.2",0.6
"PTP4A2",27.1
"KHDRBS1",19.8
"AL445248.1",0.4
"TMEM39B",1.1
"KPNA6",5.7
"TXLNA",5
"CCDC28B",1.5
"AL049795.1",0.2
"IQCC",0.2
"DCDC2B",0.1
"TMEM234",0.9
"EIF3I",9.3
"FAM167B",0.1
"LCK",3.1
"HDAC1",6.1
"MARCKSL1",25.3
"FAM229A",1
"BSDC1",14.2
"ZBTB8B",0.2
"ZBTB8A",0.5
"ZBTB8OS",5.4
"RBBP4",19.3
"SYNC",3.2
"YARS",3.3
"S100PBP",3.2
"FNDC5",0.3
"RNF19B",1.4
"AK2",2.9
"AZIN2",0.1
"TRIM62",0.5
"ZNF362",1.6
"PHC2",2.1
"SMIM12",2.5
"DLGAP3",0.6
"ZMYM6",5.7
"ZMYM1",0.6
"SFPQ",75.5
"ZMYM4",7.8
"KIAA0319L",4.4
"NCDN",0.2
"TFAP2E",0.1
"PSMB2",6.2
"C1orf216",0.2
"CLSPN",1.1
"AGO4",2.9
"AGO1",3.4
"AL139286.3",0.2
"AGO3",9.9
"TEKT2",0
"ADPRHL2",2.4
"TRAPPC3",2.6
"MAP7D1",5.7
"THRAP3",16.9
"SH3D21",1
"STK40",1.8
"LSM10",1.6
"MRPS15",4.3
"GRIK3",1.9
"ZC3H12A",6.6
"MEAF6",7.7
"SNIP1",6.3
"GNL2",7
"AL513220.1",0.1
"C1orf109",2.3
"CDCA8",0.2
"EPHA10",0.3
"YRDC",6.2
"C1orf122",4.4
"MTF1",2.7
"INPP5B",2.3
"SF3A3",4.4
"UTP11",2
"POU3F1",0.3
"LINC01685",0.4
"RRAGC",10.7
"AL139260.1",0.6
"RHBDL2",0.1
"AKIRIN1",14.4
"NDUFS5",13.3
"MACF1",16
"BMP8A",0.1
"PABPC4",15.3
"HPCAL4",0.2
"PPIE",3.3
"BMP8B",0.2
"OXCT2",0.3
"AL033527.4",0.1
"TRIT1",0.8
"MFSD2A",1.4
"CAP1",6.6
"PPT1",3.1
"RLF",13.5
"AL050341.2",0.5
"ZMPSTE24",2.2
"COL9A2",2.7
"SMAP2",26.7
"AL031985.4",0.3
"ZFP69B",1.3
"AL031985.3",0.4
"ZFP69",0.2
"EXO5",0.3
"ZNF684",0.9
"NFYC-AS1",1.4
"NFYC",3.3
"CITED4",1.2
"CTPS1",7.8
"SLFNL1-AS1",0.5
"SCMH1",1.4
"FOXO6",0.3
"HIVEP3",5
"FOXJ3",13.8
"ZMYND12",0.1
"PPCS",8.4
"CCDC30",2.2
"PPIH",4.5
"AC098484.4",0.2
"YBX1",50.4
"P3H1",1.3
"C1orf50",1.6
"SVBP",4.9
"ERMAP",0.6
"SLC2A1",7.2
"SLC2A1-AS1",0.4
"EBNA1BP2",2.6
"TIE1",0.1
"ELOVL1",1.4
"MED8",1.5
"SZT2",3.9
"HYI",2
"PTPRF",0.3
"KDM4A",2.7
"KDM4A-AS1",0.7
"ST3GAL3",2.5
"IPO13",0.3
"DPH2",0.6
"ATP6V0B",13.5
"CCDC24",0.2
"AL139220.2",0.3
"DMAP1",4.6
"ERI3",2.6
"RNF220",5
"TMEM53",0.3
"ARMH1",4.5
"KIF2C",0.1
"RPS8",76.5
"BEST4",0.2
"PLK3",23.2
"TCTEX1D4",0.3
"BTBD19",0.8
"PTCH2",12.5
"EIF2B3",1.1
"HECTD3",1
"UROD",2
"ZSWIM5",0.1
"MUTYH",1.7
"TOE1",6.5
"TESK2",1
"CCDC163",0.2
"MMACHC",0.1
"PRDX1",8.9
"AKR1A1",5.7
"NASP",17.4
"CCDC17",0.2
"GPBP1L1",11
"IPP",1.2
"MAST2",0.7
"PIK3R3",0.3
"POMGNT1",3
"RAD54L",0.2
"LRRC41",4
"UQCRH",19.4
"NSUN4",4.4
"FAAH",0.7
"MKNK1",2.7
"MOB3C",0.3
"ATPAF1",1.3
"EFCAB14",7.1
"STIL",0.9
"CMPK1",10.1
"SPATA6",0.1
"BEND5",1.4
"FAF1",5.3
"RNF11",7.6
"EPS15",11.7
"OSBPL9",11.2
"NRDC",9.7
"AL050343.2",0.7
"RAB3B",0.2
"TXNDC12",3.6
"KTI12",4.2
"BTF3L4",7.3
"ZFYVE9",0.4
"CC2D1B",2.5
"ORC1",0.3
"PRPF38A",10.2
"TUT4",45.4
"GPX7",1.5
"SHISAL2A",4.3
"COA7",0.7
"ZYG11B",3.3
"ECHDC2",1.5
"SCP2",4.6
"CPT2",0.7
"CZIB",2.1
"AL606760.3",0.3
"MAGOH",10.4
"AL606760.1",0
"LRP8",0.8
"NDC1",1
"YIPF1",0.9
"HSPB11",2.7
"LRRC42",0.5
"TMEM59",8.3
"TCEANC2",0.7
"CYB5RL",0.4
"MRPL37",1.6
"SSBP3",4
"ACOT11",0.2
"TTC4",1.5
"DHCR24",0.1
"AL590440.2",0
"USP24",13.1
"PLPP3",3.5
"OMA1",2.3
"MYSM1",11.6
"JUN",65.9
"LINC01135",0.3
"FGGY",1.8
"HOOK1",4
"NFIA",0.9
"TM2D1",5.2
"AC099791.2",0.2
"PATJ",6.1
"L1TD1",1.5
"USP1",4.7
"DOCK7",4.3
"ATG4C",2.3
"ALG6",1.8
"ITGB3BP",3.4
"EFCAB7",1.1
"DLEU2L",0.6
"PGM1",0.9
"ROR1",13.5
"CACHD1",0.9
"RAVER2",0.4
"JAK1",34.8
"LINC01359",0.1
"DNAJC6",0.1
"LEPROT",4.1
"LEPR",0.3
"PDE4B",36
"SGIP1",0.1
"WDR78",0.4
"MIER1",17.8
"SLC35D1",2.9
"AL133320.2",0
"SERBP1",28.2
"GADD45A",4.3
"DEPDC1",0
"LRRC7",1.1
"LRRC40",5.3
"SRSF11",47.3
"ANKRD13C",3.3
"CTH",0.2
"ZRANB2",36.4
"ZRANB2-AS2",0.3
"AL513166.1",0.4
"FPGT",0.6
"CRYZ",0.4
"TYW3",4.3
"SLC44A5",0.6
"ACADM",7.6
"RABGGTB",14.4
"ST6GALNAC3",0.4
"PIGK",0.9
"AC118549.1",5.6
"USP33",9.7
"MIGA1",6.1
"NEXN",0.6
"FUBP1",14.6
